,service_type,p-value,direction
671,Soliciting,0.02919350629615885,-0.7
672,Explanation of New Traffic Sign on Street,0.029271234709721372,-1.9
673,Report a Broken Web-Link,0.029307373807641566,-0.6285714285714286
674,Registering/Signing up for Investment Counseling,0.029399460726834657,0.9
675,Renewal of MPDU Certificate,0.02940290627944067,-1.1428571428571428
676,Assistance with Utility Disconnection - HHS,0.029652570628515253,9.2
677,"Retiree - Verification of ERS, RSP or GRIP Pensions",0.02967443656734251,2.942857142857144
678,Housing Choice Voucher With Moderately Priced Dwelling Unit (MPDU) Rental Units,0.029742442696311686,-1.0714285714285714
679,COVID-19 Ride On Offering Face Covering Pilot Program,0.02985818217520561,1.5
680,"Hang Up, Dropped Cal or Wrong Number at ABS",0.029980500798727362,2.171428571428571
681,Retiree - SilverScript Prescription Plan for Medicare Eligible Retirees,0.030668764868750264,4.185714285714287
682,Navigation of Department of Recreation Website,0.030674917096995238,-0.5857142857142856
683,Residential Permit for Overnight Guests to Park,0.030674917096995245,-0.5857142857142856
684,Locating the Zoning Classification of Property,0.03072328536621131,-2.5428571428571436
685,"Death of a County Retiree, Active Employee or Dependent",0.031373795186433566,14.6
686,Radon Testing Law,0.03137847618294718,-1.6714285714285717
687,Employee - Request to Discuss Retirement Benefits,0.031407596481492286,-2.9571428571428573
688,Licensee Wants to Return Product,0.031575817987909226,-4.742857142857144
689,COVID-19 Phase Two Reopening,0.03159277923150974,56.2
690,Family Medicaid MCHP Application Processing Time - All Three Health Care Eligibility Units (formerly MAGI and SEU Offices),0.03162845470537637,-1.6285714285714283
691,Fire Hydrant Maintenance,0.03166440417333418,-1.2571428571428571
692,Medicaid Card Lost or Stolen - Silver Spring,0.03172573117768999,-1.2142857142857142
693,Hours of Operation for the Board of Elections (BOE),0.03204781206496149,0.8571428571428572
694,"Complaint about Homeless Shelter, Hotel or Motel Issues",0.03206839881733725,2.814285714285714
695,"Silver Spring Health Center - Location, Hours, Offerings",0.03221983709538795,-5.185714285714287
696,Domestic Partnership Health Insurance,0.032346821239250284,-1.114285714285714
697,Residential Parking Description,0.032519305212186864,-0.6142857142857143
698,"Employee, Retiree or Participating Agency - Group Insurance Coverage Denial",0.03266917487990384,-8.014285714285712
699,Board of Elections 2020 Elections and Early Voting,0.03275431807437015,7.7
700,Free Cell Phone,0.0327775612638151,-1.9857142857142858
701,Report a KBA Problem,0.03294670397300473,-2.9000000000000004
702,Apply for Temporary Disability Assistance Program (TDAP) - Germantown,0.03295069731535819,-1.2857142857142858
703,Controlled Dangerous Substance (CDS),0.03295069731535819,-0.6428571428571429
704,Raising or Lowering Speed Limit,0.033094446215280404,-0.8285714285714286
705,Job Opportunities with Montgomery County Public Schools,0.033094446215280425,-0.8285714285714286
706,Next Step in the MPDU Home Ownership Program Following Completion of the MPDU Orientation Seminar,0.03339240007273216,-0.657142857142857
707,Contractor or Company Recommendation,0.033751580723762054,-0.9428571428571428
708,Sample Leases,0.03392343175659963,-1.7714285714285716
709,Business Hours for the Moderately Priced Dwelling Unit (MPDU) Program,0.034265434662139556,-0.6
710,COVID-19 Emergency Closure Meals Service for MCPS Students,0.03434503548488308,2.0
711,Moderately Priced Dwelling Unit (MPDU) Program Income Limits,0.034396348123410636,-0.8142857142857142
712,Utility Assistance for Public Housing or HOC (Housing Choice Voucher),0.03456865540063917,0.9142857142857143
713,Reporting Animal Complaints to the Animal Services Division,0.03457025236528004,-28.12857142857143
714,Knox Box,0.03458520964810111,-1.8
715,Fire Alarms Permits - New Construction,0.034712239305050956,-2.6857142857142855
716,Commuter Services Program,0.03488593104493889,-0.7571428571428571
717,Home Health Aide Licensing and Cerification,0.03531979291199548,0.4285714285714286
718,Food Assistance,0.03570544070953359,2.7
719,"How to Apply for Public Assistance Programs, and Obtain and Application: Medicaid or Medical Assistance, Food Stamps, Cash Assistance Including Temporary  Disability Assistance and Temporary Cash Assistance",0.03610506761276727,256.3
720,"Employee, Retiree and Participating Agency - Insurance Claims Issues",0.03610760943585771,-1.2428571428571429
721,"Permit Required for Fence, Deck or Shed",0.03653174201012279,24.942857142857143
722,Age/Size When Child Should Start Riding in Forward-Facing Car Seat,0.03678749787978613,0.4
723,Pet Waste Management Program,0.03678749787978613,0.4
724,ABS Delivery Truck Damaged Property,0.03678749787978613,0.4
725,Council News Releases,0.03678749787978613,0.4
726,COVID-19 Temporary DHCA Housing Inspection Protocol for Interior Complaints in Response to COVID-19,0.03678749787978613,0.8
727,Transit Requests or General Inquiries,0.03739639189550689,-2.8428571428571434
728,Income Support Office or Supervisor Complaint Rockville,0.03748029378144063,-1.0714285714285714
729,Payment of Bag Tax Collections,0.037882979865657,-2.9857142857142858
730,Office of Community Partnerships,0.03888917735848768,-0.8428571428571427
731,Ride On Real Time Accuracy,0.038964341869101846,22.371428571428567
732,County Land or Building For Lease or Sale,0.039081001484495344,-1.3
733,Right of Way or Sediment Control Permit Bond Release,0.03957120656508672,-3.7857142857142865
734,Vehicles  for Change - Maryland Transportation Program,0.04002055009703144,-1.3
735,Adding a Family Member to a Property Deed Title,0.04007629214875912,3.8857142857142852
736,Verification for Medicaid for families or Medical Assistance for Children,0.040092912647747704,-0.2857142857142857
737,Blasting Complaint,0.040092912647747704,-0.2857142857142857
738,Call-n-Ride Payment Options and Mailing Address,0.040092912647747704,-0.2857142857142857
739,Lost Procurement Central Vendor Registration System Password,0.040092912647747704,-0.2857142857142857
740,Vaccines or Immunizations for Immigration Purposes,0.040092912647747704,-0.2857142857142857
741,Dissatisfaction with Montgomery County Recreation Program,0.040092912647747704,-0.2857142857142857
742,AccessMCG (iRecruitment) - Employment Application Submission Deadline on Closing Date,0.040092912647747704,-0.2857142857142857
743,Elder or Senior Care Locator Nationwide,0.040092912647747704,-0.2857142857142857
744,Questions About the Data on the DataMontgomery Website,0.040092912647747704,-0.2857142857142857
745,Retiree - Insurance Claim Form,0.040092912647747704,-0.2857142857142857
746,Cost of Required MPDU Classes,0.040092912647747704,-0.2857142857142857
747,Landlord Missing Recent Housing Opportunities Commission (HOC) Rent Payment,0.040092912647747704,-0.2857142857142857
748,Library Compliments,0.040092912647747704,-0.2857142857142857
749,Location of the Upcounty Regional Service Center (RSC),0.040092912647747704,-0.2857142857142857
750,Assault/Battery,0.040092912647747704,-0.2857142857142857
751,Taxi Fees,0.040092912647747704,-0.2857142857142857
752,Vision Zero Initiative,0.040092912647747704,-0.2857142857142857
753,Liquor Store Locations and Hours of Operation,0.040092912647747704,-0.2857142857142857
754,Height Restrictions for Yard Sign on Private Residential Property,0.040092912647747704,-0.2857142857142857
755,Cost of Parking in Wheaton,0.040092912647747704,-0.2857142857142857
756,Youth Substance Usage and Mental Health Screenings,0.040092912647747704,-0.2857142857142857
757,Services  Provided by the Payment of Montgomery County Property Taxes,0.040092912647747704,-0.2857142857142857
758,Allowed Uses of Public Space,0.04009291264774772,-0.5714285714285714
759,Department of Liquor Control Hours of Operation,0.04009291264774772,-1.1428571428571428
760,Reason for Parking Ticket,0.04028222335051196,-0.5142857142857142
761,Employee or Retiree - Turning Age 65,0.04036985611268403,12.3
762,eBox,0.04039163076689154,8.8
763,Moving Assistance or Storage - HHS,0.04039163076689154,4.4
764,Public Assistance to Adults,0.04055190058308587,1.5142857142857142
765,First Month's Rent or Security Deposit - HHS,0.04067615132804202,22.1
766,Social Security Administration Medicare Health Insurance,0.04080631776415689,-7.385714285714286
767,English Classes in Silver Spring,0.04092210497094722,-0.9571428571428572
768,Definition of Washington Suburban Sanitary Commission (WSSC) Remainder,0.04093906615265313,-0.5571428571428572
769,Pro bono Consultant Volunteer Program,0.04100071449036981,-0.5428571428571429
770,Permanent Visitor Permit,0.04100071449036981,-0.5428571428571429
771,American Flag Display and Disposal,0.04100071449036981,-0.5428571428571429
772,Contacting Sediment Control Inspector to Schedule an Inspection,0.041043112093187506,-3.4571428571428573
773,Notice of Violation Received from The Licensing and Registration Office,0.041068601308431714,-1.3285714285714285
774,Noise Complaint to the Department of Environmental Protection,0.041090449435243696,11.214285714285715
775,Lawn Care Law,0.04132764528708303,-1.2142857142857142
776,Divorce Decree,0.041415702741940445,-2.628571428571429
777,Accessory Dwelling Unit (ADU) Complaint,0.041416150486262744,0.9
778,"How to Apply for Public Assistance Programs: Medicaid or Medical Assistance, Food Stamps, Cash Assistance Including Temporary  Disability Assistance and Temporary Cash Assistance",0.041771101758048775,260.48571428571427
779,Disabled Vehicle,0.041785348253175716,-1.0571428571428572
780,Taxi Order or Schedule,0.0417914701148291,-0.8142857142857142
781,Air Conditioning Requirements in Rental Townhome or Multi-Family Dwelling Unit,0.04197210798802424,2.6
782,Silver Spring - Urban District,0.04198400605079775,-0.9714285714285714
783,Central Vendor Registration System (CVRS),0.04208551111967857,3.2428571428571424
784,Notification to Tenant for Retention of Security Deposit by Landlord,0.042134672377166824,-0.9857142857142858
785,Alcohol Beverage Services Licensee Questions,0.04247053760947851,2.228571428571428
786,Refinancing a Moderately Priced Dwelling Unit (MPDU) During the Control Period,0.04328653727451644,0.8142857142857144
787,Employee or Participating Agency- Verify Health Insurance Coverage,0.043684864798102165,12.1
788,Apply for Temporary Disability Assistance Program or TDAP Rockville,0.04374110742764728,-1.3571428571428572
789,Testing a Well,0.04381118270676844,-2.2857142857142856
790,"Case Status, Office of Consumer Protection",0.04394807589239724,1.6714285714285715
791,Employment Opportunities with Montgomery County Department of Police,0.04415353582141624,0.5285714285714286
792,Request to Speak with a Board of Elections (BOE)  Employee,0.04415353582141624,0.5285714285714286
793,Embezzlement,0.04415353582141624,0.5285714285714286
794,Student Request for Volunteer Opportunities or Internships with Local Nonprofits in Montgomery County,0.04415353582141624,0.5285714285714286
795,General Information for Pending Evictions,0.04421753223525981,-0.7714285714285714
796,"Water Pollution in Streams, Rivers, or Other Water Bodies",0.044323108049514406,-2.7
797,Stormwater Facility Maintenance,0.04453630670024999,-0.6428571428571429
798,Nursing Home Licensing and Complaints,0.04457156018681977,2.628571428571429
799,Calculation of Property Tax Credit for Elderly Individuals and Military Retirees,0.04458598546089408,-3.871428571428571
800,New Residential Permit Parking Area,0.04473184702670502,-1.3285714285714283
801,Family Medicaid Appeal Process - All Three Health Care Eligibility Units (formerly MAGI and SEUs),0.04480307309760034,-0.657142857142857
802,Solar Panel Financing,0.04482062340997801,-0.5857142857142856
803,ACCESS to Behavioral Health and Crisis Services,0.04483226535897083,-3.885714285714286
804,Site Plans are Required with a Sediment Control Permit Application or a Public Right of Way Permit Application,0.04489612348358556,-0.7142857142857143
805,Connecting to a New or Existing Water/Sewer Line,0.044922624504341056,0.5571428571428572
806,COVID-19 Quarantine Hotel,0.04500099771252722,1.3
807,Housing Contractor Complaint,0.04522785251579507,-2.0
808,Employment Resources for People 50 Years and Older,0.04545997102384862,-0.9285714285714286
809,Specialized Medical Care Montgomery Cares,0.04591224497973975,-1.3285714285714287
810,Employee - Insurance Requirements to Add Dependents,0.04620192192247398,-2.8285714285714287
811,Contact MANNA and How to Make a Donation to MANNA,0.04634711360665777,35.614285714285714
812,Air Conditioning Requirement in a Rental Dwelling,0.0467624320288232,-0.8
813,Pay Bonds,0.04691481289645998,-2.1428571428571432
814,COVID-19 Ride On Temporary Free Bus Service and Boarding Changes,0.04707179849176677,98.8
815,Transfer Station Questions,0.04713515320162557,478.1714285714286
816,Montgomery Housing Partnership (MHP),0.04734422550093023,0.757142857142857
817,Montgomery County's Position on U.S. Immigration and Customs Enforcement (ICE),0.04742145119355595,-0.8285714285714286
818,Health Care Eligibility Unit  (former Service Eligibility and MAGI Unit)s Case Worker Complaint Rockville,0.04742145119355595,-0.8285714285714286
819,Housing Code Enforcement Process,0.04748978754168861,-1.4428571428571426
820,Court Ordered Supervised Visits with Child,0.04749054615278071,-0.5
821,Termination of Food Stamps TCA Medicaid or TDAP How to Appeal or Overpayment,0.04749054615278071,-0.5
822,Services Offered at the Family Justice Center,0.04749054615278071,-0.5
823,Payment Options and Requirements for Recreation Class Registration,0.04749054615278071,-0.5
824,Carryout Bag Law,0.04758115984100311,-1.8571428571428572
825,Employee  or Retiree - Group Insurance Paycheck Deductions Incorrect,0.04760872343850817,-6.314285714285713
826,Montgomery County Internal Revenue Service Office,0.04761353008103919,15.814285714285715
827,Travel Vaccines for Children,0.04815751371983851,-1.1571428571428573
828,Sales Representative Requests Walk Through or Pick Up,0.04895026765464,-8.371428571428572
829,COVID-19 Governor Hogan Executive Orders for Maryland,0.04911602235201743,90.0
830,Benefit Strategies Email Error,0.04977309768827864,-0.9571428571428572
831,Donate Cell Phone,0.050517854268762444,-0.4714285714285714
832,Block Party Street Closure Request,0.05056499029049728,-0.9
833,Hand Drawn Site Plans,0.05092777701514643,-1.0
834,Pay by Cell Park Mobile Parking System,0.051003260706950763,0.6
835,Former Employees Change of Address,0.051003260706950763,0.6
836,AccessMCG (iRecruitment) - Application Process Timeframe for County Employment,0.051081837572500975,-2.5
837,Meals on Wheels (MOW),0.05134271890351341,2.8857142857142852
838,Damaged County Fence Along Roadway,0.05137048525297581,0.7
839,Bethesda Computer Donations,0.05137283782395937,1.0
840,Police Department Complaints,0.05154812846278814,-2.3857142857142852
841,Town of Somerset,0.05194656475105099,-0.4428571428571429
842,United States Department of Agriculture Food Safety Guidelines,0.052177242798819065,0.5
843,COVID-19 Montgomery County Police Department Food Donation Services,0.052177242798819065,0.5
844,"Questions about Election Judge Assignment; Work in Home Precincts, and Voting Absentee Ballot",0.052177242798819065,0.5
845,Public Charge Rule,0.052177242798819065,0.5
846,COVID-19 Food Access Capacity Building Grant,0.052177242798819065,0.5
847,Tax Sale Surplus List Requests,0.05218613841294113,-1.8571428571428568
848,Reporting a Barking Dog or an Animal Causing a Noise Disturbance,0.05245627318917855,-1.8857142857142857
849,General Information about Stormwater Management Best Management Practices (BMP) Maintenance,0.052494120643846745,1.1857142857142857
850,How to Create an Online MC311 Service Request,0.0526430574178922,0.5857142857142857
851,"Past Due Rent, Past Due or Disconnected Utilities- Assistance for Housing Opportunities Commission (HOC) Participants",0.05264305741789225,0.5857142857142857
852,COVID-19 Early Care and Education Initiative Recovery Fund,0.05274140633153679,2.6
853,COVID-19 Families First Coronavirus Response Act (FFCRA),0.05283944651707043,0.8
854,COVID-19 Up County Consolidation Hubs,0.05283944651707043,0.8
855,Homeless Family Germantown,0.053512735126431066,-2.942857142857143
856,Eviction or Foreclosure Assistance  - HHS,0.05359717625096228,47.2
857,Elected Officials Asking to Speak with the Chief Administrative Officer or His Assistant,0.05369133768318223,-0.42857142857142855
858,2019 Montgomery County Bi-Annual Resident Satisfaction Survey,0.05369133768318223,-0.42857142857142855
859,Responsibility for Curb Cleaning After an Eviction is Served,0.05369133768318224,-0.42857142857142855
860,COVID-19 Call-N-Ride Essential Delivery Services,0.05400623416381227,2.1
861,"Silver Spring Civic Building at Veterans Plaza Location, Hours and Phone Number",0.05423310612244332,-0.6714285714285714
862,COVID-19 Small Business Personal Property Tax Suspension,0.05427441349738842,0.9
863,Questions Related to a Specific Press Release Press Event or Statement From County Executive,0.05427441349738842,0.9
864,Purchase Residential Parking Permit,0.05429654914663811,-1.942857142857143
865,Income Support Office or Supervisor Complaint Silver Spring,0.0548091852835711,-0.35714285714285715
866,Citizenship Requirement for renting a Moderately Priced Dwelling Unit (MPDU) Apartment,0.0548091852835711,-0.35714285714285715
867,One Day License Application Process,0.0548091852835711,-0.35714285714285715
868,Seasonal Temporary Leaf Workers,0.0548091852835711,-0.35714285714285715
869,Patient Navigator Program to Assist the Low Income Asian Community,0.0548091852835711,-0.35714285714285715
870,Student Request for Internships With Local Nonprofits or County Programs,0.0548091852835711,-0.35714285714285715
871,Alcohol Pricebook - Retail Shopper,0.0548091852835711,-0.35714285714285715
872,M-NCPPC Montgomery County Civic Association,0.0548091852835711,-0.35714285714285715
873,Mailing Address for Tuition Reimbursement Form as a Volunteer for the Fire & Rescue Service,0.0548091852835711,-0.35714285714285715
874,Specialized Child Foster Care Parenting,0.0548091852835711,-0.35714285714285715
875,Posting Regulations Related to Limited Duration Signs,0.0548091852835711,-0.7142857142857143
876,Complaint Regarding a Mortgage Company,0.0548091852835711,-0.35714285714285715
877,Office Location for DHCA Single Family Home Improvement Loan Program,0.0548091852835711,-0.35714285714285715
878,Fire Drill Requirements,0.0548091852835711,-0.35714285714285715
879,AccessMCG (iRecruitment) - Time to Complete the Online Application,0.0548091852835711,-0.35714285714285715
880,Ride On Bus Operator Assistance Fair,0.0548091852835711,-0.35714285714285715
881,Dirt in Street,0.05500263826104977,-5.442857142857143
882,Moderately Priced Dwelling Unit (MPDU) Rent Increase,0.055077444064135464,0.6571428571428573
883,Payment Assistance for a Hospital or Medical Bill,0.055502027386248945,0.9714285714285713
884,Montgomery County Maryland Bar Foundation Pro Bono Legal Services Program,0.056017549097850144,-3.5428571428571427
885,Montgomery Connects,0.05608020771631051,4.6
886,County Executive's Aide,0.05622053577555539,-1.3428571428571427
887,Erosion Repair,0.05648008507763627,-12.314285714285717
888,Telephone Number to Employee Assistance Program,0.05672485285869191,-1.2714285714285716
889,Board of Elections 2018 General Election and Early Voting,0.05680476286437477,-0.6428571428571429
890,COVID-19 County Pools Daily Admission,0.05700534943789396,1.6
891,Burial Assistance,0.05700534943789396,6.4
892,eProperty 2.0 INTERNAL USE ONLY,0.05705255350856139,-3.5
893,County Snow Web Page Shows Street is Not County Maintained,0.057160739017515234,-1.8857142857142857
894,State Department of Education Office of Child Care and Child Care Center Licensing Requirements,0.05719275689721329,-1.5857142857142856
895,Application Process for Obtaining a Mechanical Permit,0.0572649915465571,10.957142857142859
896,Housing for Seniors,0.05786210225806526,-1.7714285714285714
897,Verification of Voter Registration,0.058438147138291416,2.7
898,DHCA Housing Code Enforcement Staff Compliment,0.058550937526065765,-0.5428571428571429
899,Home Improvement Licensing,0.05878069540540174,-0.5571428571428572
900,Building Codes Applicable to Residential Projects,0.05885711002867571,-15.157142857142858
901,Application Process for Master Electrician License,0.05915145620946551,3.442857142857143
902,County Property Tax Credit,0.059264523584676716,-5.1
903,AccessMCG  - Initial Account Setup Issues,0.05932189261264757,-1.7428571428571433
904,Stormwater Management Facilities and Structures,0.05949985920947631,-0.7857142857142857
905,Employee - COBRA Claims Issue,0.05998724344282444,-0.4
906,Parenting Classes,0.05998724344282444,-0.4
907,Idling Motor Vehicle,0.05998724344282444,-0.4
908,Medicaid Transportation Program Eligibility,0.05998724344282444,-0.4
909,Installation of a New Kitchen Exhaust Hood Commercial,0.05998724344282444,-0.4
910,Village of North Chevy Chase,0.05998724344282444,-0.4
911,Non-Receipt of Tax Bill,0.05998724344282444,-0.4
912,Application Process for Door-to-Door Vendor's License,0.06096044028061465,-2.6714285714285713
913,Internal Inquiries to MPDU Office,0.06116970419228194,97.17142857142856
914,AccessMCG (FIN Payroll) - Current or Former Employee Having Trouble Viewing Pay Advice Online,0.06130424364929016,-1.2714285714285716
915,CountyStat,0.06152509095947096,-0.7571428571428571
916,Interfaith Clothing Center,0.06161118622452166,2.8857142857142852
917,Sales Rep Wants to Pick Up and Deliver Product,0.06209608631859735,-2.2714285714285714
918,State Highway Sign Regulation,0.06212738670871721,-0.6
919,Pre-Trial Services and Assessment and Alternative Community Service,0.06212738670871721,-0.6
920,Locating an inmate,0.062213139093268525,-1.9571428571428573
921,Food Stamps and Cash Assistance Availability in Account,0.062342812367172054,9.057142857142857
922,Ticket Issued at a Broken Parking Meter,0.0624948621999635,-1.1142857142857143
923,Welfare Fraud Complaint,0.06252240473072701,-1.7999999999999998
924,Traffic Complaint,0.06259310489965395,-1.4714285714285715
925,Survivor Dependent Eligibility after Death of Employee or Retiree,0.06290250798993899,1.0
926,Notify the Licensing and Registration Office When a Rental Property is no Longer Rented; Being Re-occupied by the Owner; Vacant/For Sale or Already Sold,0.06296019709851361,-30.17142857142857
927,Anger Management,0.06315529062006472,-0.8
928,Mobile Food Service Unit License or Complaint,0.06338149320397954,3.385714285714286
929,DHCA Office of Landlord Tenant Affairs Staff Complaint,0.0636877225822953,-1.2571428571428571
930,Parking Citation Services Complaint,0.06515500816629939,-5.142857142857142
931,Fire Rescue Phone Numbers,0.06524077253684109,-3.2857142857142865
932,Geographic Information System (GIS) Map Requests,0.06526373204805411,-0.7428571428571428
933,CCOC Online Training Program for Board Members,0.06540461149777686,-1.6285714285714283
934,Ride On Pass Up Definition,0.06548496159876309,-0.3714285714285714
935,Vehicle Collisions,0.06576971676231676,-2.2142857142857144
936,U.S. Department of Homeland Security,0.06618119176713079,-0.3285714285714285
937,Housing Opportunities Commission (HOC) Web address,0.06618119176713079,-0.3285714285714285
938,Employee or Retiree - Health Insurance,0.06619617639457308,3.7
939,Adopting an Animal From the Animal Shelter,0.06652016791043423,-2.928571428571429
940,Property Tax Exemptions,0.06662432018721207,2.5428571428571436
941,"COVID-19 Ride On Changes Effective September 27, 2020",0.0667059492304166,20.8
942,City of Gaithersburg General Services,0.06712408123504922,-5.942857142857143
943,Silver Spring Parking Sales Store,0.06747883969078908,-2.371428571428571
944,COVID-19 Maintenance of Senior Living and Congregant Communities,0.06760146305705539,0.9
945,Employment with the Department of Corrections and Rehabilitation,0.06799010799932748,-0.9
946,Rainscapes Rewards Rebate Application,0.06803141784063528,-1.5285714285714285
947,Pre-Construction Meeting for Drainage Requiring a Sediment Control Permit,0.06815665747816366,-0.5
948,INTERNAL PEPCO DNRs,0.06815711378312911,-34.68571428571429
949,Employee - Questions on the W-2 Form,0.06839415386200921,-5.171428571428571
950,Name Change (Current or Former Employees Only),0.06845578205920162,-1.3285714285714283
951,Patient Navigator Program to Assist the Low Income Latino and French Communities,0.0687011662933259,6.3
952,Pesticide Law,0.0687611630120359,7.6
953,Report a Maintenance Problem in a Stormwater Facility or Pond,0.06885753079742357,-1.3571428571428572
954,City of Rockville Building Permits,0.06905021461165235,-4.214285714285715
955,Children's Resource Center,0.06905899839176184,0.9285714285714286
956,"Hours or Days Available for Community Use in County Meeting Rooms (Library, Regional Service Centers, County Office Buildings)",0.06922006605989349,-0.657142857142857
957,Elected Officials Asking to Speak With the County Executive or His Assistant,0.06942064554819907,-0.7142857142857142
958,EyeMed Hearing Care,0.06945858202628967,-0.6428571428571429
959,Information on the Building Codes Applicable to a Specific Commercial Project,0.06991969943313318,-4.942857142857143
960,Retirees - Changes to the Payment of Employees' Retirement System Benefits,0.07008722144282582,0.7428571428571429
961,COVID-19 Contact Tracer Volunteer Information,0.07035284593579567,6.3
962,Employee - Form 1095-C,0.07058651221145029,-4.171428571428571
963,MARC Commuter Train,0.07059393473144461,-1.2428571428571429
964,Outstanding Balance on DHCA Single Family Loan Program Loan and Loan Repayment,0.07075310980485204,0.6571428571428571
965,"Americans with Disabilities Act,  ADA Technical Assistance Center",0.07075310980485204,-0.6571428571428573
966,Water and Sewer Categories Listed for a Property,0.07104025743778124,-0.8142857142857142
967,Connecting to a New Water/Sewer Line Being Installed in a Neighborhood,0.07145530575203994,-0.5714285714285714
968,"Department of Permitting Services Fee Schedule for: Fence and Sign Permits, Vendor Licenses, Home Occupation Certificates",0.07164824491036344,3.4142857142857146
969,Safety In Our Neighborhood Website Information,0.07175493324423785,-1.2
970,Abuse by Husband  Boyfriend Spouse or Domestic Partner,0.071791618463282,1.0
971,Groceries on Line with SNAP or Food Stamp Benefits,0.07179988272763554,1.4
972,"Tree Issue on State Road (Rt. 355, 28)",0.07185482928524799,-1.8285714285714283
973,Property Damage Due to Snowplow,0.07190841878218132,-3.6
974,Requirement to Register a Relative or Owner Occupied Property with the Department of Housing and Community Affairs Licensing and Registration Office,0.07207261973049156,-2.5571428571428574
975,Solid Waste Hauler and Collector Licensing,0.07299252839730704,4.485714285714286
976,Board of Elections (BOE)  Board Members,0.07308665057200756,1.2285714285714286
977,Civil Case Records,0.0739833539079661,-1.0428571428571427
978,Complaints about Utilities,0.07443021955441853,-2.4000000000000004
979,Car Boot,0.07450132232203986,-0.4714285714285714
980,Employee - County Training Course Transcript,0.07450132232203988,-0.4714285714285714
981,Ride On Fare 7 Day Pass Loaded on SmarTrip Card Not Working.,0.07450132232203988,-0.4714285714285714
982,Changing Retirement Plan (ERS) Beneficiary Form,0.07479763919377522,1.7
983,Recreation Senior Nutrition Lunch Program,0.07556148535836084,0.8857142857142858
984,Employee or Retiree - Medical Insurance Question,0.0758382544167965,13.600000000000001
985,COVID-19 Impact on Evictions,0.07595805327883624,21.5
986,Contact an Elected Official,0.07609692854876408,2.3000000000000007
987,AccessMCG (FIN Payroll) - Employees Using Email Addresses as Logins - Change Email Address (Login ID),0.07676275065064322,-0.5428571428571429
988,Receiving a Rental  License Application Online or Mail,0.07729344410872512,-4.457142857142857
989,COVID-19 Public Charge,0.07739253968675379,1.4
990,Pregnancy Test - Silver Spring Health Center,0.07766411271949912,-1.5
991,COVID-19 Rental Assistance Program - HOC,0.07842563951849402,54.2
992,COVID-19 Healthcare Flex Spending Account (FSA) Changes for 2020,0.07859381541103945,1.7
993,Permit Requirement to Work in a Right-of-Way,0.07861860861040956,-0.4428571428571429
994,Child Care Provider Training and Professional Development,0.07861860861040956,-0.4428571428571429
995,Find Montgomery County Resident's Legislative District and Elected Representatives,0.07913103880813568,-0.5142857142857142
996,WorkSource Montgomery for Job Seekers and Employers,0.07957855266643626,-3.2857142857142865
997,Parking Enforcement Problems in a Residential Permit Parking Area,0.07977832931903055,-1.2999999999999998
998,Licensee Questions on Annual Alcoholic Beverage License Renewals,0.07996721395472231,1.7428571428571429
999,Maryland State Police Background Check or Clearance,0.08050129448437063,-1.5428571428571436
1000,COVID-19 Emergency Assistance Relief Payment Program,0.08058056225565267,852.8
1001,Polystyrene Food Packaging Ban,0.08076109496885621,-0.8999999999999999
1002,COVID-19 Ride On Essential Plus Bus Service,0.08083099081129903,77.3
1003,Car Alarm,0.0811261888458405,0.3
1004,Commercial Food Scraps Recycling,0.0811261888458405,0.3
1005,Report a Non-emergency Enforcement Issue on the Blue Mash Trail,0.0811261888458405,0.3
1006,Volunteer Center Orientation for Non-Profit Organizations,0.0811261888458405,0.3
1007,Police Services for the Community,0.0811261888458405,0.3
1008,Pet Burial on Private Property,0.0811261888458405,0.3
1009,Qualifications to Bid with Office of Procurement,0.0811261888458405,0.3
1010,MobileNOW! Parking Operation Ceases on May 18th,0.0811261888458405,0.3
1011,Adoption Inspection Request by Fire Code Compliance,0.0816909991636246,-1.2428571428571429
1012,Business Assistance,0.08217614420233021,-0.6857142857142858
1013,Hookah Bar,0.08223189710202151,-0.7
1014,Programs Offered by Montgomery County Recreation,0.0822768658271816,-0.21428571428571427
1015,Council Office Building Parking Garage Rates,0.0822768658271816,-0.21428571428571427
1016,Public Outreach Events,0.0822768658271816,-0.21428571428571427
1017,Asian American Health Initiative - Community and Individual Emergency Preparedness Workshop,0.0822768658271816,-0.21428571428571427
1018,Locating the Price Book,0.0822768658271816,-0.21428571428571427
1019,Transitional Services for Student or Child with a Developmental Disability,0.0822768658271816,-0.21428571428571427
1020,Building a Community Emergency Preparedness Plan,0.0822768658271816,-0.21428571428571427
1021,AccessMCG (FIN Payroll) - Employee Unable to Complete Address Change Online Using Access MCG,0.0822768658271816,-0.21428571428571427
1022,Ride On Bus Display to Call 911,0.0822768658271816,-0.21428571428571427
1023,Emergency Shelter in the Event of a Disaster or Weather,0.0822768658271816,-0.21428571428571427
1024,Department of Corrections and Rehabilitation Public Information Act Liaison,0.0822768658271816,-0.21428571428571427
1025,Taxi Meter Rates and Inspection,0.0822768658271816,-0.21428571428571427
1026,Web Address for County Attorney's Office,0.08227686582718166,-0.21428571428571427
1027,Liquor Control Warehouse and Main Office Hours of Operation,0.08227686582718166,-0.21428571428571427
1028,Obtain a Monthly Garage Access Card Agreement for Cashier Attendant Facilities,0.08227686582718166,-0.21428571428571427
