,service_type,p-value,direction,inc/dec
316,Required Inspections and Scheduling for Residential Mechanical Equipment Installation,0.01615063165783778,-2.8,decreased
317,Fax numbers for the Office of Human Resources,0.006305836869028409,-2.7714285714285714,decreased
318,Maintenance in County Parking Garages,7.422621340375951e-05,-2.7142857142857144,decreased
319,Apply for Temporary Cash Assistance (TCA) Program - Germantown,0.0184303831244694,-2.7142857142857144,decreased
320,Medicaid Card Lost or Stolen - Rockville,0.021598395449459303,-2.7142857142857144,decreased
321,"Water Pollution in Streams, Rivers, or Other Water Bodies",0.044323108049514406,-2.7,decreased
322,AccessMCG - CSR Reset Password or Unlock Account,0.00044839621390993446,-2.6857142857142855,decreased
323,Fire Alarms Permits - New Construction,0.034712239305050956,-2.6857142857142855,decreased
324,Definition of Front Foot Benefit Charge (FFBC),0.0160075563556835,-2.6714285714285713,decreased
325,"Speed Camera, Red Light Camera Fines",0.02170182622069953,-2.671428571428571,decreased
326,State Highway Administration (SHA) Park and Ride Lots,0.00018704122898319803,-2.6428571428571432,decreased
327,Divorce Decree,0.041415702741940445,-2.628571428571429,decreased
328,"Maternity Partnership Program, Case Management and Education - Germantown",0.01553972223670961,-2.5714285714285716,decreased
329,List of Required Inspections,0.003962922398246393,-2.557142857142857,decreased
330,Locating the Zoning Classification of Property,0.03072328536621131,-2.5428571428571436,decreased
331,Fleet Management Services Information,0.009732427213070098,-2.5142857142857142,decreased
332,Names of Beneficiaries,0.00013201128187673316,-2.5,decreased
333,Apply for Temporary Cash Assistance (TCA) Program - Silver Spring,0.0237163112461607,-2.5,decreased
334,Ride On Monthly Pass on SmarTrip Card,0.0020925308596438786,-2.4857142857142858,decreased
335,TB Symptoms Requiring an Immediate Referral,0.007638553108116273,-2.4714285714285715,decreased
336,Eviction Process after Writ Issued,0.0035538273891090036,-2.4571428571428573,decreased
337,ADA Complaints or Grievances,7.907637131563323e-05,-2.442857142857143,decreased
338,Apply for Temporary Cash Assistance (TCA) Program - Rockville,0.026472091522981404,-2.4285714285714284,decreased
339,Ride On Request for New Bus Service to Areas Where It Does Not Exist,2.4082926194851202e-05,-2.4142857142857146,decreased
340,Montgomery County Public Schools (MCPS) Employee Inquiries for Community Use of Public Facilities (CUPF),2.7598205362745366e-05,-2.4,decreased
341,Forms and Applications Related to Montgomery County Fire Code Compliance,0.015953619733739377,-2.4,decreased
342,Pre-Construction Meeting for Well and Septic Systems Requiring a Well and Septic Permit,0.0013825411232015307,-2.3857142857142857,decreased
343,Montgomery College,0.02820438835701014,-2.371428571428571,decreased
344,Request New Streetlights to be Installed,0.0290143988889642,-2.371428571428571,decreased
345,Unit Inspection Date/Time for a HOC Inspection,0.0008295856488176563,-2.3142857142857145,decreased
346,Children Home Alone,0.0011530881819424982,-2.3142857142857145,decreased
347,Dockless Bikeshare Demonstration Program,0.009764380094607778,-2.3142857142857145,decreased
348,Maryland Department of Health and Mental Hygiene,0.01498634079909689,-2.2857142857142856,decreased
349,Testing a Well,0.04381118270676844,-2.2857142857142856,decreased
350,"Retiree - ID Card for Medical, Dental, Prescription or Vision Plan",0.0174408979300701,-2.2714285714285714,decreased
351,Pay Parking Meter Ticket,0.013861806556443246,-2.2571428571428567,decreased
352,Liquor Control Licensee Questions,0.028175244492924828,-2.2142857142857144,decreased
353,Fugitive or Warrant Unit,0.0004495587632438112,-2.2,decreased
354,Bus Problems,0.005249441207228339,-2.1857142857142855,decreased
355,Mobile Medical Care Walk In Clinics,0.007636456934878794,-2.1714285714285713,decreased
356,ResCare,0.00020570098094145473,-2.1571428571428575,decreased
357,Senior Citizens Real Property Tax Deferral,0.015549374235335294,-2.1571428571428575,decreased
358,Pay Bonds,0.04691481289645998,-2.1428571428571432,decreased
359,Income Support Caseworker Complaint Silver Spring Office,0.01701501664063086,-2.142857142857143,decreased
360,TRiPS Commuter Store,0.005997801641920059,-2.128571428571428,decreased
361,DOT Highway Staff Compliment,0.014463462436659727,-2.128571428571428,decreased
362,Moderately Priced Dwelling Unit (MPDU) Office Location,0.0071872683814518485,-2.1142857142857143,decreased
363,Child and Adolescent Behavioral Health Outpatient Clinic,0.013538491944632901,-2.1,decreased
364,AccessMCG - CSC Unable to Reset Password or Unlock Account,0.01685454956778833,-2.0428571428571427,decreased
365,Medicaid Transportation Program,0.004049734960305753,-2.0285714285714285,decreased
366,Montgomery Avenue Women's Center,0.0013316105379451112,-2.0,decreased
367,Housing Contractor Complaint,0.04522785251579507,-2.0,decreased
368,Free Cell Phone,0.0327775612638151,-1.9857142857142858,decreased
369,First Aid/CPR Lessons,0.0021894301768624305,-1.9857142857142855,decreased
370,EZ Pass,0.015511471685581068,-1.9857142857142855,decreased
371,Employee - Montgomery County Government Exit Procedures,0.024453125304155193,-1.9857142857142855,decreased
372,Family Justice Center (FJC),0.0037096823753034014,-1.9714285714285715,decreased
373,Appealing a Speed Camera Citation,0.020895133911010506,-1.9571428571428569,decreased
374,Park Overnight in Garage,0.00043919118938510305,-1.9428571428571428,decreased
375,Workforce Housing Program,0.0070917700325404285,-1.9285714285714284,decreased
376,Request for Proclamation From the County Executive,5.830286838549109e-05,-1.9142857142857144,decreased
377,"Montgomery County Governement Employees Organization, Local 1994 Union",0.0010096071351757472,-1.9,decreased
378,Explanation of New Traffic Sign on Street,0.029271234709721372,-1.9,decreased
379,How to Become a Child Care Provider,0.0005838441026845411,-1.8857142857142857,decreased
380,Cornerstone Montgomery (formerly Threshold Services),0.0037357330422027914,-1.8857142857142857,decreased
381,Victim Assistance and Sexual Assault Program (VASAP) Offerings,0.0014839550938350542,-1.8714285714285717,decreased
382,Licensee Special Order - Purchasing,0.014591237741707482,-1.8714285714285717,decreased
383,Age at Which Children Can be Left Home Alone,0.012634147057573005,-1.8571428571428572,decreased
384,"Closing an Income Support Food Stamp, TCA, Medicaid, or TDAP Case",0.02369867098269554,-1.8571428571428572,decreased
385,Carryout Bag Law,0.04758115984100311,-1.8571428571428572,decreased
386,Already Registered For MPDU Class But Can't Remember Time or Location,0.0014810040075049556,-1.8428571428571427,decreased
387,Tuition Assistance for County Employees - Application Process,0.00010912453680884524,-1.8285714285714285,decreased
388,Volunteering at a Montgomery County Fire Rescue Department,0.005178790055067483,-1.8285714285714283,decreased
389,Mice Rats or Rodent Complaints in a Restaurant or Other Eating Establishment,0.0018068129251665802,-1.8142857142857145,decreased
390,Accessory Apartment Inspections,0.0005102748250210514,-1.8,decreased
391,Knox Box,0.03458520964810111,-1.8,decreased
392,Patient Navigator Program to Assist the Low Income Latino Community,0.00020555712724933955,-1.7857142857142858,decreased
393,"Hang Up, Dropped Cal or Wrong Number at DLC",0.01746283918208885,-1.7857142857142858,decreased
394,Income Support Office or Supervisor Complaint Germantown,0.027607470033265753,-1.7857142857142858,decreased
395,Viewing or Obtaining Copies of County Code and County Charter,0.0003580478970327436,-1.7857142857142856,decreased
396,Pro-rating of Rental Licensing Fee,0.010849526597344498,-1.7857142857142856,decreased
397,Schedule Fire Alarm Inspections - New Construction,0.0018311626920079955,-1.7714285714285716,decreased
398,County Employee Process for Filing a Discrimination Claim,0.0037777318660288895,-1.7714285714285716,decreased
399,Sample Leases,0.03392343175659963,-1.7714285714285716,decreased
400,Business Hours for the Department of Housing and Community Affairs (DHCA) Housing Code Enforcement Unit,0.009273336541421819,-1.7571428571428571,decreased
401,Ride On Fare Purchase SmarTrip Cards and Load Value,0.0007045918736312537,-1.7428571428571429,decreased
402,New Curb Request,0.006865248772862024,-1.7428571428571429,decreased
403,Ride On Bus Stop Park and Ride Lots,0.000493241377614695,-1.7142857142857144,decreased
404,ChildLink Early Childhood Services,0.014619284504286813,-1.7142857142857144,decreased
405,Noise Waiver,0.02711007954088178,-1.7142857142857144,decreased
406,Alert Montgomery - Unsubscribe to Email or Text Alerts,0.028438232564474804,-1.7142857142857144,decreased
407,Radon Testing Law,0.03137847618294718,-1.6714285714285717,decreased
408,Medicaid Card Lost or Stolen - Germantown,0.02241779679965019,-1.6428571428571428,decreased
409,"General Information about Types of Stormwater Management (Ponds, Underground Structures, Dry Ponds, Wetlands, Detention Basins, LID, ESD, Bioretention)",0.02393962259904029,-1.6428571428571428,decreased
410,Physician or Other Medical Personnel Reporting TB Case,0.014788041015075228,-1.6285714285714286,decreased
411,Family Medicaid MCHP Application Processing Time - All Three Health Care Eligibility Units (formerly MAGI and SEU Offices),0.03162845470537637,-1.6285714285714283,decreased
412,Montgomery County Executive Staff and Directors,0.0007563960508741729,-1.6142857142857143,decreased
413,Restaurant Inspection Results,0.0013715740960038557,-1.6142857142857143,decreased
414,Procedure to Apply for Internship,0.0018048805291995325,-1.614285714285714,decreased
415,The Opioid Crisis and the Drug Narcan or Naloxone,0.00027804724054911157,-1.6,decreased
416,AccessMCG (iRecruitment) - Information Required to Complete Job Application,0.0030867862923226602,-1.6,decreased
417,Unsolicited Phone Calls Demanding Money,0.00875352204226329,-1.6,decreased
418,Montgomery County Government Workers' Compensation,0.009768914089735653,-1.6,decreased
419,Confirm a Notice of Eviction,0.023499365606955026,-1.6,decreased
420,AccessMCG External (iRecruitment) - Computer Requirements to Submit Employment Application,0.016799991019739467,-1.5714285714285716,decreased
421,Access to Online Training Catalog,0.0013205404208573134,-1.5571428571428572,decreased
422,Maryland Department of Juvenile Services,0.01302075092776285,-1.5428571428571427,decreased
423,Rabies Vaccine for Human Beings,0.0020028552832234326,-1.5285714285714285,decreased
424,"Report an Untagged, Abandoned, Dysfunctional, or Inoperable Vehicle on Residential Private Property",0.01443950896052029,-1.5285714285714285,decreased
425,Indoor Air Quality,0.0006794627477567704,-1.5142857142857142,decreased
426,Physical Address for the Office of the County Executive,0.000766585240031385,-1.5,decreased
427,Maryland State Department of Education of Maryland Office of Child Care,0.001491311112961217,-1.5,decreased
428,Project Reboot,0.001491311112961217,-1.5,decreased
429,DataMontgomery Website,0.00016759978056774425,-1.4857142857142858,decreased
430,Employment with Fire and Rescue Service,0.0005706401973292732,-1.4857142857142858,decreased
431,Ride On Request for Later or Earlier Bus Service Hours to be Added to Existing Routes,0.0034926510125263253,-1.4857142857142858,decreased
432,Speaker Request for Residential County Trash or Recycling Programs,0.002517086341839642,-1.4571428571428573,decreased
433,Avery Road Treatment Center,0.0058131011666305256,-1.4571428571428573,decreased
434,Marriage Certificate and Divorce Decree,0.017664643207750047,-1.4571428571428569,decreased
435,Obtain a Montgomery County Permit for Hazardous Materials,0.0007296903520099057,-1.4428571428571428,decreased
436,Housing Code Enforcement Process,0.04748978754168861,-1.4428571428571426,decreased
437,AccessMCG (FIN Payroll) - Employee Didn't Receive or Can't Find Letter With Temporary Login ID & Temporary Password,0.0015652166937124433,-1.4285714285714286,decreased
438,Requirements for Becoming a Foster and/or Adoptive Parent,0.01803677985464035,-1.4285714285714284,decreased
439,Licensee Credits,0.012407950227321966,-1.4142857142857141,decreased
440,Random Selection Drawing Results For MPDU Sales,0.006802177826898858,-1.4,decreased
441,Contact the County Attorney's Office Regarding a Code Enforcement Issued Citation or Upcoming Court Date,0.0028606459743246333,-1.3857142857142857,decreased
442,"Montgomery County Police Department, Security Services Division Office Location and Contact Information",0.018069429924325732,-1.3857142857142857,decreased
443,Storm Water Management Concept,0.020406771509596314,-1.3857142857142857,decreased
444,Interior Maintenance of Commercial Properties,0.013153322896521016,-1.3714285714285717,decreased
445,Pay by Cell Park Now Parking System,0.0017311564301489971,-1.3714285714285714,decreased
446,Ride On Request for Camera Footage,0.01218245810678038,-1.3571428571428572,decreased
447,Medical Transportation Program Application Submission,0.015186439127952856,-1.3571428571428572,decreased
448,Apply for Temporary Disability Assistance Program or TDAP Rockville,0.04374110742764728,-1.3571428571428572,decreased
449,Immediate Need for Car Seat Inspection Appointment,0.004384131570348814,-1.3285714285714287,decreased
450,Specialized Medical Care Montgomery Cares,0.04591224497973975,-1.3285714285714287,decreased
451,Notice of Violation Received from The Licensing and Registration Office,0.041068601308431714,-1.3285714285714285,decreased
452,New Residential Permit Parking Area,0.04473184702670502,-1.3285714285714283,decreased
453,Questions about Cannabis (Marijuana) in the State of Maryland,0.003436896596673244,-1.314285714285714,decreased
454,Emergency Building Inspections by the Department of Permitting Services (DPS),0.0038356174534912493,-1.314285714285714,decreased
455,County Land or Building For Lease or Sale,0.039081001484495344,-1.3,decreased
456,Vehicles  for Change - Maryland Transportation Program,0.04002055009703144,-1.3,decreased
457,Transfer Call to 911,0.001528357188474735,-1.2857142857142858,decreased
458,Missing Person,0.001968301904753812,-1.2857142857142858,decreased
459,Apply for Temporary Disability Assistance Program (TDAP) -  Silver Spring,0.022436367477147192,-1.2857142857142858,decreased
460,Apply for Temporary Disability Assistance Program (TDAP) - Germantown,0.03295069731535819,-1.2857142857142858,decreased
461,Montgomery County Correctional Facility and Detention Center Visiting Hours,0.017549137491628553,-1.2857142857142856,decreased
462,Fuel Energy Tax Information,0.0010336167778159443,-1.2714285714285714,decreased
463,MCGEO Members Sick Leave Bank,0.00870641713288393,-1.2571428571428571,decreased
464,Obtaining Guardianship of a Child,0.01727700501588493,-1.2571428571428571,decreased
465,Employee - Voluntary Short Term Disability,0.027058934616325674,-1.2571428571428571,decreased
466,Fire Hydrant Maintenance,0.03166440417333418,-1.2571428571428571,decreased
467,Enforcement Cameras and Speed to Trigger Citation,0.0025003170552659213,-1.2428571428571429,decreased
468,Damage to Personal Property by Fire and Rescue Services,0.002942517322923762,-1.2428571428571429,decreased
469,"Employee, Retiree and Participating Agency - Insurance Claims Issues",0.03610760943585771,-1.2428571428571429,decreased
470,Screening and Assessment Services for Children and Adolescents SASCA,0.019490441925671804,-1.2142857142857144,decreased
471,Flu Clinic Appointments 2018 2019 Season,0.02020116308091096,-1.2142857142857142,decreased
472,Employee - LiveWell and Virgin Pulse Program Information,0.020404301039845054,-1.2142857142857142,decreased
473,Medicaid Card Lost or Stolen - Silver Spring,0.03172573117768999,-1.2142857142857142,decreased
474,Lawn Care Law,0.04132764528708303,-1.2142857142857142,decreased
475,Vehicle Lockouts,0.01926211913383783,-1.185714285714286,decreased
476,Employee - Requests  Copy of Pay Advice (Payslip),0.0029951633190497015,-1.1857142857142857,decreased
477,Panhandling Enforcement,0.023506424446702073,-1.1857142857142855,decreased
478,How to Reach a Case Worker in Child Foster Care,0.02485293432633877,-1.1714285714285717,decreased
479,Obtain a Copy of an Accident Report,0.019291356312696885,-1.1571428571428573,decreased
480,Travel Vaccines for Children,0.04815751371983851,-1.1571428571428573,decreased
481,Renewal of MPDU Certificate,0.02940290627944067,-1.1428571428571428,decreased
482,Department of Liquor Control Hours of Operation,0.04009291264774772,-1.1428571428571428,decreased
483,Domestic Partnership Health Insurance,0.032346821239250284,-1.114285714285714,decreased
484,Metro Disability ID Card,0.014088649093274019,-1.1,decreased
485,Rabies Shot or Vaccine After Animal Bite,0.016259046974551935,-1.1,decreased
486,Passport Application,0.0026359216743590285,-1.0857142857142859,decreased
487,CCOC Community Association Manual and Resource Guide,0.0055363410723658114,-1.0857142857142859,decreased
488,Health and Human Services Guide to the Community or Request HHS Presence at a Health Fair or Event,0.013722761088137374,-1.0857142857142859,decreased
489,General Wage Adjustment Fiscal Year 2019,0.01545466990758564,-1.0714285714285714,decreased
490,Tdap or Tetanus-Diptheria-Acellular Pertussis Vaccination and Meningococcal or MCV4 Vaccination  School Year 2018 2019,0.018635566715349473,-1.0714285714285714,decreased
491,Duration of Eviction Process,0.022334894418893962,-1.0714285714285714,decreased
492,Welfare Avoidance Grant or WAG,0.02301639848520162,-1.0714285714285714,decreased
493,County Assistance for Stream Erosion Problems on Private Property,0.02565681279306738,-1.0714285714285714,decreased
494,"Stormwater Management (Ponds, Underground Structures, Dry Ponds, Wetlands, Detention Basins)",0.02565681279306738,-1.0714285714285714,decreased
495,Housing Choice Voucher With Moderately Priced Dwelling Unit (MPDU) Rental Units,0.029742442696311686,-1.0714285714285714,decreased
496,Income Support Office or Supervisor Complaint Rockville,0.03748029378144063,-1.0714285714285714,decreased
497,Payment of Outstanding Parking Meter Violations,0.0027952284851338934,-1.0571428571428572,decreased
498,Shepherd's Table,0.0230066911927442,-1.0571428571428572,decreased
499,Disabled Vehicle,0.041785348253175716,-1.0571428571428572,decreased
500,Wrong Product Delivered,0.02082860466394785,-1.0428571428571427,decreased
501,Parking Ticket Enforcement Officer Complaint,0.010630542670496896,-1.0142857142857142,decreased
502,Montgomery County Office of Budget and Management - Budget Information,0.018962098753140505,-1.0142857142857142,decreased
503,Montgomery County Recreation Facility Complaints,0.027059630222185018,-1.0142857142857142,decreased
504,General Information about Stormwater Facility Maintenance,0.004997920132095667,-1.0,decreased
505,"Bed Bugs in Private Homes, Hotels or Motels",0.007526519797131049,-1.0,decreased
506,"Transfer an Income Support Case to Another Jurisdiction in Maryland, Silver Spring Office",0.016418660102918054,-1.0,decreased
507,Upcounty Community Events,0.027070222572118177,-0.9857142857142858,decreased
508,Notification to Tenant for Retention of Security Deposit by Landlord,0.042134672377166824,-0.9857142857142858,decreased
509,Eligibility Requirements for Montgomery County Recreation Financial Assistance,0.003449152807180887,-0.9714285714285714,decreased
510,Silver Spring - Urban District,0.04198400605079775,-0.9714285714285714,decreased
511,"Pedestrian, Bicycle, Traffic and Safety Advisory Committee",0.006412424853139124,-0.9571428571428572,decreased
512,Retiree - Cobra Claims Issue,0.023763888479532338,-0.9571428571428572,decreased
513,English Classes in Silver Spring,0.04092210497094722,-0.9571428571428572,decreased
514,Benefit Strategies Email Error,0.04977309768827864,-0.9571428571428572,decreased
515,Received Parking Ticket with Time Left on Meter,0.012686989874283162,-0.9428571428571428,decreased
516,Tree Crew Removed Tree but Stem or Trunk Remains,0.02588473976490352,-0.9428571428571428,decreased
517,Contractor or Company Recommendation,0.033751580723762054,-0.9428571428571428,decreased
518,MPIA Departmental Contacts,0.006423764678911278,-0.9285714285714286,decreased
519,"Questions Related to a Specific Press Release, Press Event, or Statement From County Executive",0.006423764678911278,-0.9285714285714286,decreased
520,Medical Examiner,0.01290987403663316,-0.9285714285714286,decreased
521,Employee 2019 Health Care Flexible Spending Account,0.01691158943531134,-0.9285714285714286,decreased
522,Employment Resources for People 50 Years and Older,0.04545997102384862,-0.9285714285714286,decreased
523,Local Small Business Reserve Program,0.016705113300148764,-0.9142857142857141,decreased
524,Responsibility of Alarm Company to Reduce False Alarms,0.021262800375157296,-0.9142857142857141,decreased
525,Sprinkler Installation,0.011059412125611073,-0.9,decreased
526,State Traffic Cameras,0.011059412125611073,-0.9,decreased
527,Classes on How to Start a Business,0.01989649465554376,-0.9,decreased
528,Length of Time to Obtain a Commercial Building Permit,0.027584950731523866,-0.9,decreased
529,Ride On Fare Montgomery College Students Ride Free,0.0013451578155393793,-0.8714285714285714,decreased
530,AccessMCG (FIN Payroll) - Employees with Single Sign On Access,0.005494892727055115,-0.8714285714285714,decreased
531,Challenging Automated Traffic Enforcement Citations Received Weeks After the Alleged Incident,0.002619222995018495,-0.8571428571428571,decreased
532,Employee - BCBS Blue Choice Advantage Network,0.008088745097244983,-0.8571428571428571,decreased
533,Request Fire Rescue Staff at Event or Speaking Engagement,0.014467071115937771,-0.8428571428571427,decreased
534,Office of Community Partnerships,0.03888917735848768,-0.8428571428571427,decreased
535,Request New Guardrail,0.014778348522469434,-0.8285714285714286,decreased
536,Raising or Lowering Speed Limit,0.033094446215280404,-0.8285714285714286,decreased
537,Job Opportunities with Montgomery County Public Schools,0.033094446215280425,-0.8285714285714286,decreased
538,Montgomery County's Position on U.S. Immigration and Customs Enforcement (ICE),0.04742145119355595,-0.8285714285714286,decreased
539,Health Care Eligibility Unit  (former Service Eligibility and MAGI Unit)s Case Worker Complaint Rockville,0.04742145119355595,-0.8285714285714286,decreased
540,Automatic Fire Sprinklers in Homes,0.010249241381594538,-0.8142857142857142,decreased
541,Moderately Priced Dwelling Unit (MPDU) Program Income Limits,0.034396348123410636,-0.8142857142857142,decreased
542,Taxi Order or Schedule,0.0417914701148291,-0.8142857142857142,decreased
543,"Caller Unable to Reach MC311 by Dialing ""3-1-1""",0.017956570252681717,-0.8,decreased
544,Air Conditioning Requirement in a Rental Dwelling,0.0467624320288232,-0.8,decreased
545,Montgomery County Government Employee - Recreation Total REC Pass and Family All Pool Pass,0.0028453372865030447,-0.7857142857142857,decreased
546,Montgomery County School Crossing Guards,0.009940570934265723,-0.7857142857142857,decreased
547,Longevity Increment Fiscal Year 2019,0.015102513211987176,-0.7857142857142857,decreased
548,Census Jobs,0.015102513211987176,-0.7857142857142857,decreased
549,Carbon Monoxide Detectors In Rental Units,0.02115086743380992,-0.7857142857142857,decreased
550,Manual J Calculations for a Residential Mechanical Permit,0.01443687446636831,-0.7714285714285714,decreased
551,General Information for Pending Evictions,0.04421753223525981,-0.7714285714285714,decreased
552,Maximum Occupancy for BEDROOM,0.02555565534729627,-0.7571428571428572,decreased
553,Taxable Levy Year,0.0038267441135582453,-0.7571428571428571,decreased
554,Commission on Aging,0.007757190562661395,-0.7571428571428571,decreased
555,Use Silver Spring Civic Building at Veterans Plaza,0.01304963777596548,-0.7571428571428571,decreased
556,City of Rockville Senior Center,0.013049637775965486,-0.7571428571428571,decreased
557,Residential Kitchen Range Hoods,0.013049637775965486,-0.7571428571428571,decreased
558,Participating Agency Employee - Verify Health Insurance Coverage,0.026838260056238728,-0.7571428571428571,decreased
559,Commuter Services Program,0.03488593104493889,-0.7571428571428571,decreased
560,Finding Child Care Providers,0.005581537935852895,-0.7285714285714286,decreased
561,Methadone Clinic in Montgomery County,0.024626530103540684,-0.7285714285714286,decreased
562,AccessMCG - Can't Remember or Forgot Login ID,0.006477588958467389,-0.7142857142857143,decreased
563,Frequency of Housing Code Enforcement Multi-family Inspections,0.006477588958467389,-0.7142857142857143,decreased
564,Office of Health Care Quality Licensing,0.011838028025660799,-0.7142857142857143,decreased
565,Silver Spring Vet Center,0.01863556671534945,-0.7142857142857143,decreased
566,Site Plans are Required with a Sediment Control Permit Application or a Public Right of Way Permit Application,0.04489612348358556,-0.7142857142857143,decreased
567,Soliciting,0.02919350629615885,-0.7,decreased
568,"Montgomery County Cancer Crusade, Nicotine Tobacco Cessation",0.02299141993961756,-0.657142857142857,decreased
569,Next Step in the MPDU Home Ownership Program Following Completion of the MPDU Orientation Seminar,0.03339240007273216,-0.657142857142857,decreased
570,Family Medicaid Appeal Process - All Three Health Care Eligibility Units (formerly MAGI and SEUs),0.04480307309760034,-0.657142857142857,decreased
571,Accessory Apartment Public Notice Sign,0.022436367477147192,-0.6428571428571429,decreased
572,Controlled Dangerous Substance (CDS),0.03295069731535819,-0.6428571428571429,decreased
573,Stormwater Facility Maintenance,0.04453630670024999,-0.6428571428571429,decreased
574,Report a Broken Web-Link,0.029307373807641566,-0.6285714285714286,decreased
575,OHR and MC311 Partnership,0.020803266766772625,-0.6142857142857143,decreased
576,Residential Parking Description,0.032519305212186864,-0.6142857142857143,decreased
577,Business Hours for the Moderately Priced Dwelling Unit (MPDU) Program,0.034265434662139556,-0.6,decreased
578,Ride On Advertise on Buses or Bus Shelter,0.01837769265277821,-0.5857142857142856,decreased
579,Maryland's Commitment to Veterans,0.01837769265277821,-0.5857142857142856,decreased
580,Navigation of Department of Recreation Website,0.030674917096995238,-0.5857142857142856,decreased
581,Residential Permit for Overnight Guests to Park,0.030674917096995245,-0.5857142857142856,decreased
582,Solar Panel Financing,0.04482062340997801,-0.5857142857142856,decreased
583,New County Building Design and Construction Information,0.005652526562219237,-0.5714285714285714,decreased
584,Retiree - Long Term Care Insurance,0.005652526562219237,-0.5714285714285714,decreased
585,AccessMCG (FIN Payroll) - Employees Using Email Addresses as Logins,0.014233416415981366,-0.5714285714285714,decreased
586,CharmCard,0.014233416415981375,-0.5714285714285714,decreased
587,Personnel Management Review Report,0.02606319337636288,-0.5714285714285714,decreased
588,Smoke Detectors in a Rental Unit,0.02606319337636288,-0.5714285714285714,decreased
589,Allowed Uses of Public Space,0.04009291264774772,-0.5714285714285714,decreased
590,Definition of Washington Suburban Sanitary Commission (WSSC) Remainder,0.04093906615265313,-0.5571428571428572,decreased
591,Capital Bikeshare in Montgomery County,0.02502926127632557,-0.5428571428571429,decreased
592,Pro bono Consultant Volunteer Program,0.04100071449036981,-0.5428571428571429,decreased
593,Permanent Visitor Permit,0.04100071449036981,-0.5428571428571429,decreased
594,American Flag Display and Disposal,0.04100071449036981,-0.5428571428571429,decreased
595,Reason for Parking Ticket,0.04028222335051196,-0.5142857142857142,decreased
596,M-NCPPC Nature Centers,0.012986865174166692,-0.5,decreased
597,Community Use Fees,0.012986865174166692,-0.5,decreased
598,Pay by Cell Ticket Issued,0.012986865174166692,-0.5,decreased
599,Recovered Vehicle,0.012986865174166692,-0.5,decreased
600,West Nile Virus,0.012986865174166692,-0.5,decreased
601,Kind and Gentle Dental Care,0.02850443458794701,-0.5,decreased
602,Court Ordered Supervised Visits with Child,0.04749054615278071,-0.5,decreased
603,Termination of Food Stamps TCA Medicaid or TDAP How to Appeal or Overpayment,0.04749054615278071,-0.5,decreased
604,Services Offered at the Family Justice Center,0.04749054615278071,-0.5,decreased
605,Payment Options and Requirements for Recreation Class Registration,0.04749054615278071,-0.5,decreased
606,Wheaton Urban District,0.0284462264392816,-0.4714285714285714,decreased
607,Required Documents When Obtaining an Electrical Permit,0.028446226439281623,-0.4714285714285714,decreased
608,Ride On Public Service Ad Display,0.027531588210939227,-0.42857142857142855,decreased
609,Reaching DHCA Staff for Urgent Matters,0.027531588210939227,-0.42857142857142855,decreased
610,Discount for Phone Services for County Employees,0.027531588210939227,-0.42857142857142855,decreased
611,Pay-by-Space Parking,0.027531588210939227,-0.42857142857142855,decreased
612,Solicitors Permit (County and State),0.027531588210939227,-0.42857142857142855,decreased
613,Location of the  East County Regional Service Center (RSC),0.028972186848166527,-0.4,decreased
614,On-line Citizen Reporting System (CRS),0.01863556671534945,-0.35714285714285715,decreased
615,TB Test for Pregnant Women,0.01863556671534945,-0.35714285714285715,decreased
616,COB Garage Renovations,0.01863556671534945,-0.35714285714285715,decreased
617,Restaurants' Exemption for the Carryout Bag Law,0.01863556671534945,-0.35714285714285715,decreased
618,GET-IN (Government Employee Transit Incentives) Program,0.01863556671534945,-0.35714285714285715,decreased
619,Frequency of County Job Fairs,0.01863556671534945,-0.35714285714285715,decreased
620,Call-n-Ride Changes to Swipe Card Accounts,0.01863556671534945,-0.35714285714285715,decreased
621,Furnace Repair or Replacement,0.01863556671534945,-0.35714285714285715,decreased
622,Mental Health Case Management Services,0.01863556671534945,-0.35714285714285715,decreased
623,Verification for Medicaid for families or Medical Assistance for Children,0.040092912647747704,-0.2857142857142857,decreased
624,Blasting Complaint,0.040092912647747704,-0.2857142857142857,decreased
625,Call-n-Ride Payment Options and Mailing Address,0.040092912647747704,-0.2857142857142857,decreased
626,Lost Procurement Central Vendor Registration System Password,0.040092912647747704,-0.2857142857142857,decreased
627,Vaccines or Immunizations for Immigration Purposes,0.040092912647747704,-0.2857142857142857,decreased
628,Dissatisfaction with Montgomery County Recreation Program,0.040092912647747704,-0.2857142857142857,decreased
629,AccessMCG (iRecruitment) - Employment Application Submission Deadline on Closing Date,0.040092912647747704,-0.2857142857142857,decreased
630,Elder or Senior Care Locator Nationwide,0.040092912647747704,-0.2857142857142857,decreased
631,Questions About the Data on the DataMontgomery Website,0.040092912647747704,-0.2857142857142857,decreased
632,Retiree - Insurance Claim Form,0.040092912647747704,-0.2857142857142857,decreased
633,Cost of Required MPDU Classes,0.040092912647747704,-0.2857142857142857,decreased
634,Landlord Missing Recent Housing Opportunities Commission (HOC) Rent Payment,0.040092912647747704,-0.2857142857142857,decreased
635,Library Compliments,0.040092912647747704,-0.2857142857142857,decreased
636,Location of the Upcounty Regional Service Center (RSC),0.040092912647747704,-0.2857142857142857,decreased
637,Assault/Battery,0.040092912647747704,-0.2857142857142857,decreased
